Date,Temperature(C),TdAvg(C),Hr.Avg(%),Wind(km/h),Pres.e.lev(Hp),Prec.(mm),TotClOct,lowClOct,VisKm
01/01/2019,20.6,10.6,14.2,4.1,54.1,NNE,10.4,1016.7,----
12/31/2019,20.0,11.0,14.8,4.6,51.3,N,5.6,1021.4,0.0
12/30/2019,20.0,10.0,14.6,5.3,56.6,N,10.0,1018.6,0.0
12/29/2019,18.4,9.6,14.4,3.2,48.7,N,9.3,1018.9,0.0
12/28/2019,19.4,10.0,13.8,2.5,46.8,SSE,4.6,1018.3,0.0
12/27/2019,22.6,10.6,15.5,5.6,52.8,N,7.4,1013.3,0.2
12/26/2019,23.0,9.8,15.5,5.3,52.3,N,13.9,1015.6,0.0
12/25/2019,22.8,10.0,16.0,6.6,56.0,N,21.8,1019.5,0.0
12/24/2019,22.5,11.0,15.5,6.3,56.1,N,11.4,1020.5,0.0
12/23/2019,23.0,11.2,15.7,7.2,60.0,N,19.5,1020.7,0.0
12/22/2019,22.2,12.0,16.2,7.4,58.1,N,17.8,1021.0,0.0
12/21/2019,21.4,11.4,16.7,6.7,53.1,N,5.6,1022.6,0.0
12/20/2019,23.2,14.0,18.0,5.8,45.0,N,4.9,1018.3,0.0
12/19/2019,23.8,11.4,17.7,6.1,48.1,N,2.3,1017.9,0.0
12/18/2019,23.0,14.2,18.1,4.6,41.4,N,5.3,1020.6,0.0
12/17/2019,25.8,14.4,19.0,6.1,44.8,N,11.4,1017.0,0.0
12/16/2019,25.6,16.0,20.1,8.4,47.7,N,12.3,1015.6,0.0
12/15/2019,25.4,12.2,17.0,6.7,52.2,N,17.4,1019.9,0.0
12/14/2019,22.4,12.2,15.9,7.0,56.4,N,23.4,1022.7,0.0
12/13/2019,22.8,12.2,17.7,6.3,48.1,NNW,12.0,1021.9,0.0
12/12/2019,23.0,12.6,17.4,6.0,48.4,N,8.1,1019.8,0.0
12/11/2019,22.2,11.2,16.8,5.8,50.0,NNW,5.8,1017.9,0.0
12/10/2019,22.0,11.0,16.0,6.1,53.3,N,6.5,1017.7,0.0
12/09/2019,22.0,11.0,16.3,5.2,49.5,N,4.6,1018.2,0.0
12/08/2019,22.2,13.6,17.7,5.4,45.6,WNW,4.2,1015.4,0.0
12/07/2019,23.5,16.5,19.5,7.2,45.6,SSW,1.4,1012.2,0.0
12/06/2019,24.6,15.0,19.3,9.1,54.4,SW,6.5,1010.1,2.0
12/05/2019,24.0,13.5,18.6,4.5,40.6,NNW,1.9,1012.4,0.0
12/04/2019,27.5,16.0,20.5,10.2,51.5,NNE,6.9,1010.3,0.0
12/03/2019,26.6,16.6,20.7,7.8,44.3,N,13.9,1011.2,----
12/02/2019,26.0,14.5,19.5,6.0,43.0,N,10.9,1015.9,----
12/01/2019,26.0,13.4,19.2,5.3,40.7,N,12.3,1015.6,----
11/30/2019,28.4,17.6,22.8,12.3,53.0,NNW,12.5,1010.9,0.0
11/29/2019,27.6,16.2,21.4,8.1,43.0,N,13.4,1012.3,0.0
11/28/2019,27.4,13.2,19.5,7.8,48.7,N,13.0,1014.9,0.0
11/27/2019,26.0,14.0,19.1,8.9,53.5,N,14.4,1016.5,0.0
11/26/2019,26.0,13.6,19.2,9.1,54.0,N,7.4,1018.2,0.0
11/25/2019,23.6,15.4,18.3,12.4,68.9,N,6.4,1018.4,0.0
11/24/2019,24.0,14.4,18.0,10.0,60.1,NE,6.9,1013.0,1.5
11/23/2019,27.2,14.0,19.9,10.5,57.2,N,13.0,1011.4,0.0
11/22/2019,28.5,19.5,22.4,10.6,47.9,N,11.8,1013.9,0.0
11/21/2019,29.2,18.4,22.6,11.8,51.6,N,14.8,1017.2,0.0
11/20/2019,29.8,17.5,22.4,10.0,46.8,N,10.9,1017.1,0.0
11/19/2019,30.0,18.2,22.7,8.1,40.3,N,11.6,1013.2,0.0
11/18/2019,28.0,15.5,21.0,9.3,48.9,N,9.0,1017.0,0.0
11/17/2019,26.6,16.2,20.9,9.6,49.1,N,13.2,1019.1,0.0
11/16/2019,25.8,17.6,21.8,9.5,46.6,NW,4.6,1014.5,0.0
11/15/2019,25.0,16.6,21.1,10.3,51.4,N,13.7,1010.5,0.0
11/14/2019,25.8,15.8,20.9,10.8,53.4,NNW,14.1,1010.1,0.0
11/13/2019,27.4,16.6,21.4,9.8,49.1,N,17.8,1014.2,0.0
02/20/2019,20.6,10.5,15.3,4.6,51.5,N,13.9,1021.1,0.0
02/19/2019,19.0,1.0,14.0,3.0,49.2,N,9.5,1019.9,0.0
02/18/2019,22.2,11.4,15.9,1.4,39.0,N,2.3,1018.0,0.4
02/17/2019,20.0,8.2,14.7,-1.2,35.4,NNE,5.6,1022.1,0.0
02/16/2019,18.8,14.8,16.9,1.2,35.2,WNW,9.7,1018.0,0.0
02/15/2019,22.8,12.8,16.9,-1.8,28.3,SSW,10.7,1013.9,0.0
02/14/2019,25.6,11.0,19.6,3.4,36.0,NW,16.7,1012.4,0.0
02/13/2019,24.6,9.0,16.8,2.4,42.2,NNW,14.1,1015.5,0.0
02/12/2019,21.6,9.4,15.0,4.6,53.1,N,13.0,1021.0,0.0
02/11/2019,20.8,9.2,15.4,5.4,53.9,NNW,10.4,1020.4,0.0
02/10/2019,21.0,-----,-----,-----,48.6,N,17.9,1017.6,0.0
02/09/2019,21.5,12.0,16.6,4.2,45.1,N,6.0,1016.0,0.0
02/08/2019,20.5,10.6,15.7,10.5,74.4,N,4.2,1013.2,0.0
