Date,Temperature(C),TdAvg(C),Hr.Avg(%),Wind(km/h),Pres.e.lev(Hp),Prec.(mm),TotClOct,lowClOct,VisKm
01/01/2019,14.6,4.4,8.7,3.0,69.9,SE,11.0,1021.5,----
12/31/2019,13.4,5.5,9.3,6.2,81.4,SW,9.0,1022.6,0.4
12/30/2019,12.4,5.0,8.7,6.9,88.9,SSW,5.1,1020.8,1.0
12/29/2019,10.5,6.0,8.3,6.6,89.4,SW,4.1,1020.3,0.6
12/28/2019,11.0,5.0,7.4,5.8,89.3,SW,16.6,1016.5,4.8
12/27/2019,17.0,4.0,8.5,5.5,83.5,SSW,11.6,1014.6,11.0
12/26/2019,17.0,2.4,9.7,2.3,61.9,S,4.2,1019.0,0.0
12/25/2019,26.0,0.5,9.3,4.6,79.2,S,6.9,1024.6,0.0
12/24/2019,15.6,1.4,8.1,4.8,81.4,WSW,2.8,1024.6,0.0
12/23/2019,15.4,0.4,8.0,3.8,77.7,SW,2.8,1025.6,0.0
12/22/2019,14.5,0.8,8.1,5.7,87.1,NW,3.0,1026.4,0.0
12/21/2019,13.2,4.0,9.2,7.2,87.6,WNW,2.5,1024.4,2.8
12/20/2019,17.0,7.4,10.2,7.9,86.6,SW,9.7,1018.6,2.2
12/19/2019,17.0,4.0,10.7,4.3,67.1,S,6.9,1021.6,0.0
12/18/2019,17.2,10.0,11.9,7.9,77.7,SSW,3.2,1022.0,0.2
12/17/2019,16.8,7.8,11.3,7.9,82.4,W,4.3,1018.9,0.7
12/16/2019,17.2,9.2,12.3,5.6,64.6,SE,14.4,1022.3,0.0
12/15/2019,16.8,5.6,9.9,3.1,64.4,SE,7.9,1026.9,0.0
12/14/2019,15.0,0.0,8.0,3.6,76.1,SW,5.3,1027.7,0.0
12/13/2019,16.4,9.0,11.7,7.3,75.3,W,10.2,1022.7,0.3
12/12/2019,16.6,5.0,10.9,5.6,70.5,SW,7.4,1021.7,0.0
12/11/2019,16.0,2.4,8.7,5.0,80.0,SSW,6.5,1021.7,0.0
12/10/2019,15.2,3.6,9.1,6.2,83.2,S,3.2,1021.4,0.0
12/09/2019,14.0,6.4,10.7,8.9,88.8,SSW,6.9,1021.3,0.7
12/08/2019,11.5,8.8,10.1,8.3,88.9,SW,12.5,1016.3,1.1
12/07/2019,13.0,8.0,9.9,8.4,89.9,SW,15.9,1012.4,----
12/06/2019,17.5,6.0,10.2,3.3,66.3,S,7.9,1013.0,----
12/05/2019,18.6,2.8,10.9,3.5,63.4,SSW,8.3,1014.0,0.0
12/04/2019,19.0,12.4,15.5,8.7,64.8,W,9.5,1012.9,0.0
12/03/2019,19.0,10.0,13.7,5.4,57.6,ESE,11.1,1018.2,0.0
12/02/2019,17.5,6.2,12.4,6.3,68.5,S,6.5,1021.0,0.0
12/01/2019,21.8,5.6,13.1,7.9,75.4,WSW,7.6,1016.2,0.0
11/30/2019,21.5,12.0,15.8,9.5,68.4,W,5.8,1013.9,0.0
11/29/2019,21.0,13.0,15.9,9.3,65.6,SSE,7.4,1016.8,0.0
11/28/2019,21.0,6.0,14.2,5.1,56.9,SE,11.6,1020.7,0.0
11/27/2019,19.8,7.0,12.9,6.0,66.4,SE,5.6,1020.3,0.0
11/26/2019,18.2,7.2,11.8,6.2,71.5,W,6.6,1021.4,0.0
11/25/2019,17.2,6.9,11.8,8.6,83.0,WNW,5.8,1019.7,0.1
11/24/2019,14.6,8.6,11.4,8.9,85.3,SW,4.9,1015.6,0.1
11/23/2019,18.0,8.0,12.0,7.3,74.6,SW,4.5,1015.5,2.0
11/22/2019,22.6,12.4,15.5,10.0,76.0,W,5.8,1017.6,0.0
11/21/2019,23.4,9.6,14.8,9.6,74.6,SSE,3.2,1021.8,0.0
11/20/2019,22.8,7.0,15.2,7.0,59.6,S,4.4,1022.2,0.0
11/19/2019,22.0,11.0,15.6,5.7,53.1,SE,6.9,1019.4,0.0
11/18/2019,21.4,8.5,14.4,7.1,64.6,SE,4.9,1022.9,0.0
11/17/2019,20.6,6.6,13.2,9.2,79.3,S,7.4,1023.7,0.0
11/16/2019,18.5,6.4,11.6,6.6,73.0,SSW,9.5,1017.5,0.0
11/15/2019,18.6,6.5,13.7,9.3,77.2,NNW,7.9,1013.0,1.0
11/14/2019,21.4,10.6,15.5,10.6,74.5,SSE,4.2,1013.6,0.0
11/13/2019,20.6,7.2,13.3,8.3,74.0,SSE,5.1,1019.5,0.0
02/20/2019,13.5,6.2,9.2,5.0,76.6,WNW,4.8,1024.3,0.0
02/19/2019,13.0,2.2,6.6,3.2,80.8,NW,6.2,1022.5,0.0
02/18/2019,13.2,1.0,6.4,1.7,75.1,NW,5.3,1020.5,0.0
02/17/2019,13.0,1.5,6.7,3.5,81.9,W,5.8,1024.0,3.5
02/16/2019,11.6,7.0,8.7,3.0,69.2,WSW,15.6,1018.7,1.5
02/15/2019,15.0,3.0,8.6,1.6,62.7,SW,11.6,1015.2,0.0
02/14/2019,18.0,3.5,11.4,2.5,55.8,S,11.6,1014.5,0.0
02/13/2019,17.2,4.2,9.7,1.3,59.3,SE,11.8,1021.5,0.0
02/12/2019,14.2,0.6,7.6,3.3,77.5,W,4.2,1024.3,0.0
02/11/2019,13.0,5.2,8.1,5.2,83.0,WNW,9.0,1021.5,1.7
02/10/2019,13.6,2.8,8.7,6.5,84.9,WSW,8.9,1020.7,0.0
02/09/2019,14.6,5.0,9.3,5.2,77.2,WSW,7.4,1018.2,2.0
02/08/2019,13.8,5.2,9.3,6.3,81.7,NNW,18.2,1016.3,0.0
02/07/2019,13.5,8.2,11.6,6.8,74.7,SSE,11.9,1016.7,11.0
02/06/2019,20.0,9.0,13.1,2.9,53.0,SE,18.9,1022.0,Tr
02/05/2019,19.8,7.0,13.3,-1.5,37.4,SE,19.9,1023.5,0.0
02/04/2019,18.2,4.4,10.7,-1.4,45.8,SSE,10.4,1023.7,0.0
02/03/2019,17.8,0.8,8.9,2.1,68.8,S,4.8,1023.3,0.0
02/02/2019,14.8,2.8,8.5,1.3,63.5,NW,7.4,1023.2,0.0
02/01/2019,17.0,0.0,8.4,-0.2,58.6,W,7.1,1023.4,0.0
01/31/2019,15.2,1.5,9.3,-0.6,54.8,WSW,5.6,1021.0,0.0
01/30/2019,16.0,7.0,10.9,3.2,60.9,SE,13.4,1019.2,0.0
01/29/2019,15.0,5.0,8.9,5.7,82.0,SW,6.9,1020.1,4.3
