Date,Temperature(C),TdAvg(C),Hr.Avg(%),Wind(km/h),Pres.e.lev(Hp),Prec.(mm),TotClOct,lowClOct,VisKm
01/01/2019,15.8,4.2,9.3,2.4,65.3,ESE,5.2,1021.3,----
12/31/2019,14.2,4.2,9.1,5.4,79.4,WSW,4.2,1022.4,0.0
12/30/2019,14.0,2.0,7.4,5.3,85.6,SW,5.1,1020.5,1.0
12/29/2019,10.6,5.8,7.8,5.3,84.3,SSW,10.3,1020.1,1.0
12/28/2019,14.4,5.8,7.9,5.7,84.0,WSW,20.4,1015.6,0.5
12/27/2019,17.4,2.4,8.7,2.5,68.0,SW,11.6,1013.4,0.0
12/26/2019,17.0,3.0,10.2,1.7,57.3,S,2.3,1018.3,0.0
12/25/2019,17.4,3.0,9.1,3.2,70.4,WSW,6.7,1023.9,0.0
12/24/2019,16.6,3.0,9.7,3.6,67.4,NNW,7.6,1023.5,0.0
12/23/2019,17.0,3.5,9.4,1.2,58.5,NNW,6.3,1025.0,0.0
12/22/2019,15.8,2.8,9.5,1.5,59.3,N,3.7,1025.3,0.0
12/21/2019,15.0,6.0,9.8,5.5,75.8,NW,3.7,1030.1,0.0
12/20/2019,17.5,7.0,11.0,4.9,68.1,WSW,13.4,1018.6,0.0
12/19/2019,17.8,4.8,11.4,3.4,60.4,S,8.6,1021.5,0.0
12/18/2019,19.0,9.0,12.3,5.3,64.4,WSW,9.7,1021.4,0.4
12/17/2019,18.8,10.5,14.7,6.2,59.0,SW,8.5,1017.5,0.0
12/16/2019,18.6,-----,-----,-----,52.9,ESE,12.6,1022.3,0.0
12/15/2019,17.8,6.6,11.1,1.5,52.1,ESE,2.1,1026.8,0.0
12/14/2019,15.8,2.8,8.8,2.6,67.1,CAL,0.0,1027.1,0.0
12/13/2019,18.0,7.0,11.6,6.3,72.0,WSW,16.4,1022.1,0.0
12/12/2019,17.7,2.5,9.8,4.4,67.9,SSW,6.6,1021.3,0.0
12/11/2019,17.3,3.0,9.8,4.7,73.4,WSW,3.7,1021.0,0.0
12/10/2019,17.0,3.5,10.5,4.9,68.0,SW,2.6,1020.8,0.0
12/09/2019,15.6,6.5,10.8,7.1,78.8,SW,6.3,1020.8,0.0
12/08/2019,14.0,6.8,10.5,6.4,76.2,SW,13.9,1016.0,Tr
12/07/2019,14.5,8.0,10.3,7.7,83.9,SSW,15.4,1011.8,----
12/06/2019,17.0,8.0,11.6,1.9,53.1,WSW,5.8,1012.3,----
12/05/2019,19.5,7.0,12.3,4.0,58.5,WSW,9.8,1014.3,0.0
12/04/2019,19.2,9.5,14.9,7.7,62.9,ESE,9.0,1013.4,0.0
12/03/2019,18.6,9.5,13.6,6.2,60.5,ENE,11.1,1018.0,0.0
12/02/2019,18.5,6.0,12.8,6.5,68.0,SSE,2.3,1020.6,0.0
12/01/2019,22.8,9.0,14.6,7.3,63.9,WNW,8.8,1015.2,0.0
11/30/2019,22.5,11.0,17.1,9.7,64.1,SE,1.4,1013.5,0.0
11/29/2019,22.0,13.5,16.8,8.6,59.9,N,4.9,1017.0,0.0
11/28/2019,21.4,8.5,13.7,5.9,61.0,SSE,3.2,1020.9,0.0
11/27/2019,20.2,7.5,13.4,5.6,61.0,SSE,4.9,1021.4,0.0
11/26/2019,19.0,8.5,13.5,7.5,68.6,WSW,8.5,1020.3,0.0
11/25/2019,18.8,9.6,13.4,8.3,73.5,NW,12.3,1018.5,0.0
11/24/2019,17.2,8.2,12.0,8.2,80.2,NW,6.4,1014.9,----
11/23/2019,22.8,9.4,14.2,6.9,63.1,NW,10.0,1013.8,0.0
11/22/2019,21.8,13.4,17.1,7.8,55.8,WNW,11.1,1015.8,Tr
11/21/2019,22.0,9.6,14.7,9.5,73.0,S,3.2,1021.3,0.0
11/20/2019,23.0,9.0,15.8,7.5,60.3,S,4.2,1020.6,0.0
11/19/2019,22.4,11.2,16.6,6.4,52.1,WSW,2.8,1019.2,0.0
11/18/2019,21.6,8.6,15.1,5.5,55.1,SE,4.6,1022.8,0.0
11/17/2019,20.6,9.0,14.6,8.3,68.0,WSW,6.5,1023.1,0.0
11/16/2019,20.4,8.8,14.6,7.0,59.1,WSW,10.5,1016.3,0.0
11/15/2019,19.5,8.5,15.0,9.5,71.9,W,3.4,1011.8,----
11/14/2019,21.5,12.0,15.1,9.9,72.7,S,1.4,1012.9,0.0
11/13/2019,20.4,10.0,14.4,9.8,75.1,SW,10.2,1019.3,0.0
02/20/2019,17.0,3.0,8.5,3.4,73.1,NNW,10.9,1022.9,0.0
02/19/2019,15.0,2.0,7.0,2.4,72.9,NNW,4.8,1021.2,2.0
02/18/2019,14.5,3.0,8.4,1.1,62.0,WSW,8.8,1020.1,0.0
02/17/2019,13.4,3.2,8.0,2.6,69.3,WSW,9.3,1023.1,0.0
02/16/2019,13.6,3.6,8.1,1.9,66.0,SW,8.3,1018.6,0.0
