Date,Temperature(C),TdAvg(C),Hr.Avg(%),Wind(km/h),Pres.e.lev(Hp),Prec.(mm),TotClOct,lowClOct,VisKm
01/01/2019,15.6,4.4,9.7,2.6,64.0,ESE,17.8,1019.7,----
12/31/2019,12.8,4.2,8.4,6.7,89.8,SW,10.7,1022.8,2.3
12/30/2019,11.4,3.5,7.4,5.5,87.8,WSW,7.2,1020.4,0.7
12/29/2019,10.5,6.0,7.5,7.0,96.7,SSW,16.7,1019.9,1.1
12/28/2019,11.5,5.0,7.2,6.0,92.2,WSW,29.0,1015.7,4.0
12/27/2019,15.2,1.8,8.3,5.6,84.6,WSW,19.5,1013.9,3.0
12/26/2019,18.0,1.2,8.4,2.1,66.7,SW,3.9,1017.8,0.0
12/25/2019,17.8,0.0,8.6,4.0,78.1,SSE,9.7,1023.6,0.0
12/24/2019,16.0,0.0,7.5,4.1,80.8,NW,4.4,1024.2,0.0
12/23/2019,14.8,0.8,8.1,4.0,78.4,ESE,2.3,1024.9,0.0
12/22/2019,14.0,2.0,6.8,5.9,95.0,WNW,2.3,1026.0,0.0
12/21/2019,13.5,7.5,10.3,8.8,90.5,WSW,14.1,1023.7,7.0
12/20/2019,16.4,6.4,10.5,6.1,75.0,WSW,25.5,1018.5,5.0
12/19/2019,17.6,4.4,10.2,3.3,63.4,WSW,12.7,1020.1,0.0
12/18/2019,17.2,7.5,12.3,5.4,63.8,SW,15.3,1021.6,0.0
12/17/2019,17.5,5.0,11.4,6.7,75.7,W,10.4,1018.3,0.2
12/16/2019,19.0,5.5,11.8,6.1,68.7,E,25.2,1020.5,0.2
12/15/2019,17.8,7.0,11.4,4.7,64.1,E,21.7,1024.7,0.0
12/14/2019,15.6,1.0,8.3,6.3,88.1,NNE,6.7,1026.5,0.0
12/13/2019,16.0,8.6,11.6,8.3,81.7,W,15.8,1022.4,2.2
12/12/2019,16.0,5.7,10.3,4.2,65.9,WSW,12.7,1021.2,0.0
12/11/2019,15.6,1.0,8.7,4.4,76.3,WSW,7.4,1021.2,0.0
12/10/2019,16.0,1.4,8.9,4.4,75.6,WSW,6.0,1020.8,0.0
12/09/2019,14.8,5.4,10.2,6.3,77.8,SW,6.3,1020.8,0.0
12/08/2019,13.2,8.0,9.9,6.8,81.7,SW,18.5,1016.2,0.6
12/07/2019,12.7,-----,-----,-----,83.0,WSW,32.4,1011.2,0.5
12/06/2019,16.4,5.8,9.5,4.5,73.8,SW,10.7,1012.0,3.6
12/05/2019,18.5,3.0,9.8,3.1,65.4,SW,10.9,1014.3,0.0
12/04/2019,19.0,7.0,13.7,8.3,72.3,ESE,12.0,1012.4,0.0
12/03/2019,19.0,9.0,13.3,6.2,63.0,E,26.4,1016.0,0.0
12/02/2019,18.6,4.0,11.7,5.0,66.1,ESE,14.1,1019.8,0.0
12/01/2019,21.0,9.0,13.5,7.9,71.6,WSW,14.6,1015.8,0.0
11/30/2019,22.8,8.0,15.3,8.3,64.9,W,4.4,1012.9,0.0
11/29/2019,23.2,11.0,16.4,9.9,66.5,E,13.9,1015.2,0.0
11/28/2019,22.6,8.5,15.1,5.5,55.5,ESE,18.1,1018.6,0.0
11/27/2019,21.2,6.8,13.1,5.3,63.6,ESE,13.2,1020.1,0.0
11/26/2019,19.6,7.2,12.4,9.1,82.6,WSW,5.1,1021.2,0.0
11/25/2019,16.2,6.0,11.0,8.5,85.2,W,6.3,1019.4,0.0
